user_id,amount,location,time_of_day
1880,100.45,StoreB,morning
1001,128.8,StoreB,morning
1896,107.69,StoreB,afternoon
1303,91.28,StoreA,afternoon
1253,91.9,StoreC,afternoon
1651,97.07,StoreC,morning
1452,95.18,StoreB,evening
1036,85.62,StoreA,morning
1159,82.08,StoreC,evening
1008,78.75,StoreB,afternoon
1232,64.92,StoreC,evening
1098,74.39,StoreC,afternoon
1658,46.14,StoreA,afternoon
1815,78.03,StoreA,evening
1207,60.23,StoreC,afternoon
1130,57.93,StoreB,evening
1403,83.6,StoreA,afternoon
1151,107.84,StoreC,morning
1053,98.37,StoreA,morning
1119,48.59,StoreA,afternoon
1672,60.21,StoreA,afternoon
1919,98.82,StoreC,evening
1627,60.35,StoreB,morning
1586,75.51,StoreB,evening
1624,91.0,StoreB,afternoon
1967,60.63,StoreA,afternoon
1419,82.11,StoreC,evening
1421,53.32,StoreA,afternoon
1103,67.97,StoreB,morning
1851,86.4,StoreB,evening
1253,48.14,StoreC,morning
1226,88.81,StoreA,morning
1111,79.61,StoreB,morning
1509,91.05,StoreC,evening
1472,84.48,StoreA,afternoon
1098,107.28,StoreA,morning
1152,82.5,StoreB,morning
1860,71.41,StoreB,morning
1913,82.45,StoreA,afternoon
1895,90.87,StoreA,afternoon
1877,80.98,StoreB,evening
1337,80.81,StoreA,afternoon
1705,65.96,StoreB,evening
1821,66.74,StoreA,evening
1162,51.95,StoreB,evening
1719,114.99,StoreC,evening
1956,55.12,StoreB,evening
1680,66.14,StoreB,morning
1995,65.63,StoreC,afternoon
1160,97.9,StoreA,morning
1579,74.1,StoreC,evening
1800,104.95,StoreB,afternoon
1397,66.53,StoreA,morning
1276,85.58,StoreC,morning
1815,63.29,StoreA,evening
1915,122.9,StoreA,morning
1503,56.25,StoreC,morning
1895,86.2,StoreA,morning
1391,92.68,StoreC,morning
1134,88.28,StoreB,morning
1194,1830.96,StoreA,evening
1400,77.4,StoreB,evening
1639,80.88,StoreB,morning
1032,77.06,StoreA,evening
1687,99.28,StoreC,evening
1459,124.21,StoreA,afternoon
1954,68.85,StoreB,morning
1882,52.6,StoreB,evening
1469,78.23,StoreC,evening
1374,131.59,StoreA,morning
1021,63.93,StoreB,afternoon
1749,112.78,StoreB,morning
1669,113.55,StoreB,afternoon
1037,68.93,StoreC,morning
1229,91.38,StoreB,morning
1364,112.57,StoreB,morning
1562,72.42,StoreA,morning
1437,75.93,StoreA,afternoon
1775,68.37,StoreB,afternoon
1282,59.7,StoreB,evening
1026,67.01,StoreA,morning
1225,55.52,StoreC,afternoon
1276,80.68,StoreC,afternoon
1797,64.6,StoreC,afternoon
1608,84.68,StoreC,morning
1283,48.88,StoreC,evening
1878,86.62,StoreC,afternoon
1959,96.67,StoreC,morning
1480,40.13,StoreC,afternoon
1452,87.48,StoreA,afternoon
1828,104.55,StoreC,evening
1815,55.81,StoreC,afternoon
1658,113.45,StoreC,afternoon
1515,88.38,StoreB,morning
1546,65.9,StoreA,morning
1191,78.88,StoreA,evening
1048,91.17,StoreA,morning
1511,81.52,StoreC,morning
1016,90.78,StoreC,evening
1171,61.59,StoreB,afternoon
1219,83.39,StoreA,evening
1157,51.73,StoreC,morning
1476,77.78,StoreA,evening
1045,61.92,StoreB,afternoon
1372,65.29,StoreB,evening
1517,104.72,StoreB,morning
1098,101.83,StoreA,morning
1891,92.18,StoreC,evening
1744,58.15,StoreC,afternoon
1036,73.67,StoreB,evening
1279,104.26,StoreC,afternoon
1348,82.83,StoreB,afternoon
1496,3033.36,StoreA,evening
1301,87.87,StoreB,afternoon
1180,83.84,StoreA,morning
1606,73.82,StoreB,evening
1098,82.67,StoreC,afternoon
1699,76.95,StoreC,morning
1992,94.16,StoreB,evening
1115,99.13,StoreC,morning
1190,64.28,StoreC,morning
1252,53.38,StoreC,morning
1980,43.28,StoreA,afternoon
1927,2163.84,StoreC,evening
1982,57.93,StoreA,evening
1160,36.94,StoreB,afternoon
1255,87.77,StoreC,evening
1322,129.86,StoreC,morning
1127,79.88,StoreC,evening
1017,96.77,StoreB,afternoon
1792,81.64,StoreA,morning
1734,78.02,StoreA,afternoon
1565,98.38,StoreC,morning
1569,74.19,StoreB,morning
1322,85.35,StoreB,evening
1871,86.43,StoreB,morning
1685,66.64,StoreB,afternoon
1791,99.84,StoreB,evening
1625,76.5,StoreA,afternoon
1287,64.89,StoreA,morning
1942,90.73,StoreA,afternoon
1853,62.03,StoreC,afternoon
1662,80.56,StoreB,morning
1961,79.82,StoreC,evening
1638,101.72,StoreB,afternoon
1154,89.49,StoreA,morning
1489,79.5,StoreC,evening
1385,96.36,StoreA,evening
1985,107.8,StoreB,evening
1784,91.16,StoreB,afternoon
1103,1925.04,StoreB,afternoon
1928,53.76,StoreA,afternoon
1392,58.7,StoreB,evening
1810,73.9,StoreA,afternoon
1245,67.81,StoreC,morning
1175,76.26,StoreB,afternoon
1038,1947.12,StoreB,afternoon
1476,90.59,StoreB,evening
1681,78.59,StoreC,afternoon
1758,89.73,StoreB,morning
1537,81.29,StoreA,evening
1866,40.49,StoreA,morning
1817,61.21,StoreB,evening
1920,77.12,StoreB,evening
1407,55.81,StoreC,afternoon
1524,92.0,StoreC,morning
1827,110.62,StoreC,evening
1505,104.38,StoreB,afternoon
1902,75.73,StoreC,evening
1824,109.81,StoreC,evening
1035,82.97,StoreA,evening
1684,73.26,StoreC,evening
1019,67.73,StoreA,evening
1320,73.95,StoreA,evening
1775,72.24,StoreC,afternoon
1511,83.41,StoreA,evening
1399,83.21,StoreB,morning
1653,80.06,StoreB,afternoon
1971,88.74,StoreC,morning
1882,103.81,StoreB,evening
1470,98.99,StoreA,morning
1142,50.3,StoreB,evening
1091,28.92,StoreC,evening
1353,98.69,StoreC,afternoon
1833,52.66,StoreA,afternoon
1799,75.5,StoreC,evening
1726,56.6,StoreB,afternoon
1958,43.96,StoreC,morning
1853,90.83,StoreA,afternoon
1050,95.18,StoreC,afternoon
1664,68.47,StoreB,morning
1697,28.18,StoreA,afternoon
1574,69.08,StoreB,evening
1189,87.84,StoreA,morning
1124,50.42,StoreC,evening
1149,83.67,StoreA,morning
1313,79.69,StoreA,evening
1569,91.59,StoreC,evening
1341,82.39,StoreB,afternoon
1304,60.54,StoreC,evening
1691,103.93,StoreA,afternoon
1681,76.83,StoreC,morning
1837,79.45,StoreA,evening
1782,61.33,StoreC,evening
1053,71.13,StoreC,morning
1443,62.3,StoreB,morning
1612,76.54,StoreA,evening
1992,114.23,StoreB,morning
1263,52.56,StoreA,afternoon
1052,1145.52,StoreC,morning
1571,109.42,StoreA,morning
1619,75.81,StoreB,evening
1004,66.62,StoreB,afternoon
1102,100.8,StoreB,morning
1195,67.89,StoreA,afternoon
1773,116.52,StoreB,afternoon
1876,93.56,StoreB,afternoon
1991,70.24,StoreB,evening
1883,123.15,StoreC,morning
1349,67.89,StoreC,evening
1046,94.84,StoreA,morning
1866,2063.7599999999998,StoreA,morning
1822,106.03,StoreB,evening
1935,111.23,StoreC,afternoon
1819,80.64,StoreB,afternoon
1655,64.93,StoreB,morning
1268,89.2,StoreC,evening
1369,66.45,StoreC,afternoon
1635,120.27,StoreC,afternoon
1105,82.73,StoreA,morning
1669,72.69,StoreA,morning
1658,83.69,StoreB,evening
1656,1273.44,StoreA,morning
1119,60.57,StoreC,afternoon
1830,104.01,StoreC,afternoon
1786,66.86,StoreA,afternoon
1603,59.06,StoreB,afternoon
1057,90.73,StoreB,evening
1950,103.71,StoreA,evening
1345,94.38,StoreB,morning
1740,99.92,StoreB,morning
1473,64.86,StoreB,morning
1116,51.56,StoreC,evening
1829,110.03,StoreC,afternoon
1790,73.55,StoreA,morning
1126,74.98,StoreC,afternoon
1392,2557.44,StoreB,morning
1907,91.12,StoreC,morning
1640,89.12,StoreA,morning
1057,123.3,StoreC,morning
1633,67.13,StoreB,morning
1512,98.56,StoreB,afternoon
1750,81.14,StoreA,morning
1801,2048.88,StoreC,afternoon
1095,110.57,StoreC,evening
1637,90.16,StoreC,morning
1117,90.77,StoreB,afternoon
1559,101.45,StoreA,evening
1600,72.7,StoreC,evening
1487,63.22,StoreB,evening
1236,59.1,StoreB,afternoon
1884,40.67,StoreB,morning
1896,121.12,StoreC,morning
1271,57.94,StoreC,afternoon
1188,75.57,StoreC,morning
1998,74.46,StoreC,afternoon
1703,86.15,StoreC,morning
1446,96.31,StoreC,evening
1580,97.21,StoreC,morning
1789,1640.16,StoreC,afternoon
1860,76.66,StoreC,afternoon
1246,85.65,StoreB,evening
1962,75.03,StoreC,afternoon
1075,112.15,StoreA,morning
1153,89.82,StoreB,morning
1655,94.7,StoreC,evening
1434,93.26,StoreA,afternoon
1996,103.47,StoreC,evening
1085,83.62,StoreA,morning
1696,54.06,StoreA,evening
1284,87.99,StoreA,afternoon
1973,66.97,StoreA,evening
1219,69.43,StoreB,afternoon
1068,91.73,StoreB,afternoon
1046,104.77,StoreA,morning
1093,80.43,StoreC,morning
1749,86.18,StoreA,morning
1957,114.04,StoreB,afternoon
1452,84.82,StoreC,evening
1203,132.03,StoreB,afternoon
1911,91.31,StoreB,morning
1217,44.78,StoreC,morning
1473,95.07,StoreA,evening
1431,87.62,StoreA,morning
1340,105.8,StoreA,morning
1550,93.46,StoreA,morning
1611,77.23,StoreC,evening
1288,55.51,StoreC,afternoon
1253,75.82,StoreC,morning
1733,62.99,StoreB,evening
1356,68.39,StoreC,morning
1022,91.77,StoreA,evening
1761,113.4,StoreB,morning
1521,87.89,StoreA,evening
1757,56.08,StoreA,morning
1836,88.89,StoreC,afternoon
1099,103.93,StoreC,morning
1801,67.8,StoreA,evening
1179,77.32,StoreA,morning
1222,80.29,StoreB,afternoon
1905,64.3,StoreC,morning
1761,2231.2799999999997,StoreB,evening
1658,77.58,StoreB,evening
1441,88.39,StoreB,afternoon
1607,62.25,StoreA,evening
1768,71.25,StoreB,morning
1324,94.45,StoreB,morning
1515,72.54,StoreA,morning
1015,114.54,StoreC,evening
1791,72.01,StoreC,morning
1335,84.49,StoreB,morning
1758,98.65,StoreA,morning
1257,51.63,StoreC,afternoon
1496,44.78,StoreB,evening
1987,49.49,StoreB,evening
1895,105.25,StoreA,evening
1159,68.96,StoreB,afternoon
1474,131.16,StoreC,evening
1851,1649.28,StoreA,afternoon
1663,83.69,StoreC,afternoon
1907,110.84,StoreC,evening
1689,120.12,StoreC,morning
1674,121.23,StoreB,morning
1379,104.17,StoreB,evening
1544,100.48,StoreC,evening
1928,91.85,StoreC,afternoon
1956,95.57,StoreA,evening
1690,68.98,StoreA,afternoon
1426,63.64,StoreB,evening
1612,79.93,StoreB,morning
1267,76.6,StoreA,morning
1834,70.94,StoreC,evening
1576,93.93,StoreB,afternoon
1416,99.11,StoreC,morning
1167,81.77,StoreA,afternoon
1841,109.55,StoreB,evening
1042,57.17,StoreB,evening
1555,76.13,StoreA,morning
1284,65.66,StoreB,evening
1396,42.67,StoreA,morning
1011,78.35,StoreB,afternoon
1606,77.57,StoreA,morning
1301,110.27,StoreB,morning
1897,92.62,StoreC,afternoon
1252,59.52,StoreC,morning
1498,117.08,StoreC,morning
1753,104.42,StoreB,evening
1034,91.64,StoreB,afternoon
1726,75.47,StoreC,morning
1848,60.81,StoreC,afternoon
1089,72.56,StoreA,afternoon
1775,101.77,StoreA,morning
1604,117.69,StoreA,evening
1921,110.86,StoreC,afternoon
1969,70.22,StoreC,morning
1601,57.61,StoreC,afternoon
1417,82.82,StoreA,evening
1114,44.63,StoreB,evening
1616,86.46,StoreC,evening
1902,77.05,StoreB,morning
1195,70.68,StoreB,morning
1825,48.11,StoreB,evening
1500,90.27,StoreA,morning
1625,1664.3999999999999,StoreB,evening
1492,56.6,StoreC,morning
1074,22.55,StoreA,evening
1412,79.45,StoreC,afternoon
1375,115.45,StoreC,evening
1419,113.23,StoreA,evening
1728,70.86,StoreC,morning
1276,67.96,StoreC,morning
1760,89.38,StoreA,morning
1675,60.03,StoreC,morning
1393,86.04,StoreB,morning
1868,95.32,StoreC,morning
1456,104.54,StoreB,afternoon
1919,78.0,StoreC,evening
1191,75.93,StoreA,evening
1738,62.44,StoreA,evening
1688,63.46,StoreC,afternoon
1098,75.47,StoreA,evening
1547,87.35,StoreC,afternoon
1977,98.27,StoreA,afternoon
1998,63.94,StoreB,afternoon
1095,109.85,StoreC,evening
1663,74.58,StoreB,afternoon
1662,79.57,StoreB,evening
1189,65.06,StoreC,evening
1735,31.52,StoreB,morning
1036,97.68,StoreC,morning
1779,94.74,StoreB,afternoon
1368,74.37,StoreC,afternoon
1694,81.34,StoreC,evening
1524,90.32,StoreA,afternoon
1278,48.75,StoreC,afternoon
1216,69.42,StoreC,evening
1866,95.89,StoreB,afternoon
1872,54.91,StoreC,afternoon
1797,85.87,StoreA,evening
1272,52.87,StoreB,evening
1880,89.33,StoreB,morning
1061,79.29,StoreA,evening
1595,47.7,StoreB,morning
1879,103.29,StoreB,afternoon
1728,65.31,StoreB,evening
1341,63.79,StoreB,evening
1396,84.01,StoreA,evening
1698,102.97,StoreA,afternoon
1018,59.68,StoreB,morning
1176,81.23,StoreB,afternoon
1611,88.58,StoreA,afternoon
1395,93.86,StoreA,evening
1444,83.53,StoreA,morning
1232,72.66,StoreB,afternoon
1914,63.45,StoreB,evening
1075,81.72,StoreC,afternoon
1264,58.56,StoreA,afternoon
1454,21.57,StoreB,evening
1795,88.73,StoreA,evening
1717,98.08,StoreB,morning
1734,32.74,StoreA,afternoon
1383,59.81,StoreB,evening
1563,92.38,StoreC,evening
1850,121.15,StoreC,morning
1505,80.42,StoreA,morning
1366,65.44,StoreB,evening
1143,76.34,StoreB,morning
1884,107.5,StoreA,evening
1068,67.08,StoreB,afternoon
1098,64.02,StoreA,morning
1395,70.35,StoreB,afternoon
1024,60.93,StoreA,afternoon
1947,82.45,StoreB,afternoon
1890,112.49,StoreA,evening
1468,86.46,StoreB,afternoon
1483,74.95,StoreC,afternoon
1564,74.16,StoreB,afternoon
1150,48.74,StoreA,evening
1143,97.66,StoreC,afternoon
1568,78.44,StoreB,afternoon
1038,76.39,StoreC,morning
1108,143.86,StoreB,evening
1692,85.98,StoreC,afternoon
1041,64.96,StoreA,morning
1185,71.47,StoreB,evening
1934,102.97,StoreB,evening
1397,82.27,StoreA,evening
1222,51.23,StoreC,evening
1633,98.38,StoreA,evening
1132,66.64,StoreA,evening
1162,117.47,StoreC,afternoon
1214,101.6,StoreA,afternoon
1732,71.05,StoreB,afternoon
1234,105.62,StoreB,afternoon
1842,81.36,StoreB,morning
1657,97.06,StoreA,afternoon
1750,89.69,StoreB,evening
1587,63.07,StoreB,afternoon
1008,67.13,StoreB,afternoon
1073,100.6,StoreB,evening
1953,73.3,StoreB,afternoon
1491,71.93,StoreB,afternoon
1912,60.9,StoreA,afternoon
1252,88.47,StoreB,morning
1229,121.25,StoreB,afternoon
1518,58.65,StoreC,evening
1173,80.48,StoreA,evening
1652,108.24,StoreA,afternoon
1167,78.41,StoreA,afternoon
1169,89.05,StoreA,afternoon
1392,58.75,StoreB,evening
1945,88.57,StoreB,evening
1794,76.26,StoreC,morning
1633,99.71,StoreC,morning
1193,103.75,StoreA,morning
1516,131.79,StoreC,evening
1028,91.59,StoreC,morning
1164,86.52,StoreA,afternoon
1421,83.89,StoreA,afternoon
1338,72.94,StoreC,evening
1647,86.77,StoreB,morning
1495,74.09,StoreC,afternoon
1364,83.37,StoreC,evening
1832,106.35,StoreB,morning
1341,59.87,StoreB,afternoon
1499,102.8,StoreA,morning
1656,106.34,StoreA,evening
1510,77.64,StoreC,morning
1326,37.56,StoreB,evening
1216,67.84,StoreA,morning
1300,105.94,StoreC,afternoon
1131,79.54,StoreB,evening
1803,60.01,StoreC,evening
1069,69.9,StoreA,evening
1251,96.81,StoreA,morning
1414,90.93,StoreB,morning
1786,75.22,StoreC,afternoon
1444,72.66,StoreB,evening
1875,72.16,StoreA,evening
1181,61.55,StoreA,morning
1166,112.31,StoreC,morning
1090,73.55,StoreC,afternoon
1713,104.34,StoreC,afternoon
1857,110.43,StoreB,morning
1530,99.97,StoreC,evening
1038,1712.88,StoreC,afternoon
1125,88.07,StoreA,morning
1450,79.52,StoreA,morning
1172,61.93,StoreC,evening
